message,soc
"Grundlegende Schwierigkeit des Schülers ist die mangelnde Leistung im Fach Mathematik und der Unwissenheit, wie er damit umzugehen hat. Einfluss auf die Situation nehmen einerseits die Eltern welche das ganze als mehr oder weniger angeborene Eigenschaft abtun Merkmal dieses somit",41
"Grundlegende Schwierigkeit des Schülers ist die mangelnde Leistung im Fach Mathematik und der Unwissenheit, wie er damit umzugehen hat. Einfluss auf die Situation nehmen einerseits die Eltern welche das ganze als mehr oder weniger angeborene Eigenschaft abtun und dieses somit",41
"Grundlegende Schwierigkeit des Schülers ist die mangelnde Leistung im Fach Mathematik und der Unwissenheit, wie er damit umzugehen hat. Einfluss auf die Situation nehmen einerseits die Eltern welche das ganze als mehr oder weniger angeborene Eigenschaft abtun und dieses somit",41
"Grundlegende Schwierigkeit des Schülers ist die mangelnde Leistung im Fach Mathematik und der Unwissenheit, wie er damit umzugehen hat. Einfluss auf die Situation nehmen einerseits die Eltern welche das ganze als mehr oder weniger angeborene Eigenschaft abtun und dieses somit",41
"Grundlegende Schwierigkeit des Schülers ist die mangelnde Leistung im Fach Mathematik und der Unwissenheit, wie er damit umzugehen hat. Einfluss auf die Situation nehmen einerseits die Eltern welche das ganze als mehr oder weniger angeborene Eigenschaft abtun und dieses somit",41
"Grundlegende Schwierigkeit des Schülers ist die mangelnde Leistung im Fach Mathematik und der Unwissenheit, wie er damit umzugehen hat. Einfluss auf die Situation nehmen einerseits die Eltern welche das ganze als mehr oder weniger angeborene Eigenschaft abtun und dieses somit",41
"Grundlegende Schwierigkeit des Schülers ist die mangelnde Leistung im Fach Mathematik und der Unwissenheit, wie er damit umzugehen hat. Einfluss auf die Situation nehmen einerseits die Eltern welche das ganze als mehr oder weniger angeborene Eigenschaft abtun und dieses somit",41
"Die grundlegende Schwierigkeit des SchülerIn der Situation. Dies gibt dem Schüler ein Bild der Hoffnungslosigkeit und der daraus resultierenden Unveränderlichkeit in seiner Situation. Auf der anderen Seite ist der Lehrer eher die Ansicht, dass diese Schwierigkeit interner/variabler ist und somit",41
"Problem grundlegende Schwierigkeit des SchülerIn der Situation. Dies gibt dem Schüler ein Bild der Hoffnungslosigkeit und der daraus resultierenden Unveränderlichkeit in seiner Situation. Auf der anderen Seite ist der Lehrer eher die Ansicht, dass diese Schwierigkeit interner/variabler ist und somit",41
"Die grundlegende Schwierigkeit des SchülerIn der Situation. Dies gibt dem Schüler Ausweglosigkeit Bild der Hoffnungslosigkeit und der daraus resultierenden Unveränderlichkeit in seiner Situation. Auf der anderen Seite ist der Lehrer eher die Ansicht, dass diese Schwierigkeit interner/variabler ist und somit",41
"Die grundlegende Schwierigkeit des SchülerIn der Situation. Dies gibt dem Schüler ein Bild der Hoffnungslosigkeit Invarianz der daraus resultierenden Unveränderlichkeit in seiner Situation. Auf der anderen Seite ist der Lehrer eher die Ansicht, dass diese Schwierigkeit interner/variabler ist und somit",41
"Die grundlegende Schwierigkeit des SchülerIn der Situation. Dies gibt dem Schüler ein Bild der Hoffnungslosigkeit und der daraus resultierenden Unveränderlichkeit in seiner Situation. Auf der anderen Seite ist der Lehrer eher die Ansicht, dass diese Schwierigkeit interner/variabler ist und somit",41
"Die grundlegende Schwierigkeit des SchülerIn der Situation. Dies gibt dem Schüler ein Bild der Hoffnungslosigkeit und der daraus resultierenden Unveränderlichkeit in seiner Situation. Auf der anderen Seite ist der Lehrer eher die Ansicht, dass diese Schwierigkeit interner/variabler ist und somit",41
Die Antwort finde ich gut und wir sollen uns hier ja eher auf die Beschreibung und nicht auf das Finden einer Lösung konzentrieren.,35
Die Antwort Antwort ich gut und wir sollen uns hier ja eher auf die Beschreibung und nicht auf das Finden einer Lösung konzentrieren.,35
Die Antwort finde ich gut zu tun sein wir sollen uns hier ja eher auf die Beschreibung und nicht auf das Finden einer Lösung konzentrieren.,35
Die Antwort finde ich gut und wir sollen uns hier ja Darstellung auf die Beschreibung und nicht auf das Finden einer Lösung konzentrieren.,35
"Ich denke, die Antwort ist gut und wir sollten uns hier auf die Beschreibung und nicht auf die Suche nach einer Lösung konzentrieren.",35
"Ich denke, Antwort Antwort ist gut und wir sollten uns hier auf die Beschreibung und nicht auf die Suche nach einer Lösung konzentrieren.",35
"Ich denke, die Antwort ist gut und wir sollten uns hier auf Darstellung Beschreibung und nicht auf die Suche nach einer Lösung konzentrieren.",35
"Okay, seid ihr beide zufrieden mit der gemeinsamen Zusammenfassung oder wollt ihr noch etwas ergänzen?",-1
"Okay, seid happy beide zufrieden mit der gemeinsamen Zusammenfassung oder wollt ihr noch etwas ergänzen?",-1
"Okay, seid ihr beide zufrieden mit der gemeinsamen Zusammenfassung Zusammenfassung wollt ihr noch etwas ergänzen?",-1
"Okay, sind Sie beide mit der gemeinsamen Zusammenfassung zufrieden oder möchten Sie etwas hinzufügen?",-1
"Okay, sind Sie beide mit Zusammenfassung gemeinsamen Zusammenfassung zufrieden oder möchten Sie etwas hinzufügen?",-1
Ich bin zufrieden damit.,39
Ich happy zufrieden damit.,39
Ich bin damit zufrieden.,39
Also ich wäre zufrieden mit der Antwort,39
Also ich happy zufrieden mit der Antwort,39
Also würde ich mit der Antwort zufrieden sein,39
Also würde ich mit der Antwort zufrieden happy,39
"Okay, danke! Ihr könnt den Chat jetzt über den ""Chat Beenden""-Button schließen.",-1
"Okay, danke! Sie können jetzt den Chat über die Schaltfläche ""Chat"" schließen.",-1
"Okay, danke! Sie können jetzt den Chat über Schaltfläche Schaltfläche ""Chat"" schließen.",-1
"Hallo, willkommen in der Chatumgebung.",-1
"Hallo, Willkommen in der Chat -Umgebung.",-1
"Hallo, Willkommen in wünschenswert Chat -Umgebung.",-1
Hallo,-1
Trubel,-1
"Für euch zur Info: In den Reitern über dem Chat findet ihr den Fall, die Aufgabenbeschreibung und die Attributionstheorie. Falls ihr Fragen habt, könnt ihr sie jederzeit stellen.",-1
"Für euch zur Info: In den Reitern über dem Chat findet ihr den Fall, die Aufgabenbeschreibung und die Attributionstheorie. Falls ihr Fragen ständig könnt ihr sie jederzeit stellen.",-1
"Informationen zur Informationen: In den Fahrern über dem Chat finden Sie den Fall, die Beschreibung der Aufgabe und die Attributionstheorie. Wenn Sie Fragen haben, können Sie sie jederzeit stellen.",-1
"Informationen zur Informationen: In den Fahrern über dem Chat finden Sie den Darstellung die Beschreibung der Aufgabe und die Attributionstheorie. Wenn Sie Fragen haben, können Sie sie jederzeit stellen.",-1
"Informationen zur Informationen: In den Fahrern über dem Chat finden Sie den Fall, die Beschreibung der Aufgabe und die Attributionstheorie. Wenn Sie ständig haben, können Sie sie jederzeit stellen.",-1
Hallo!,-1
hi!,-1
Ich hab den Fall schon mal gelesen und schaue nochmal kurz in den Text.,-1
Ich hab den liebreizend schon mal gelesen und schaue nochmal kurz in den Text.,-1
Ich habe den Fall bereits gelesen und mich kurz in den Text eingesehen.,-1
Ich lange den Fall bereits gelesen und mich kurz in den Text eingesehen.,-1
"Wenn alles klar ist, dann könnt ihr jetzt mit eurer Diskussion beginnen.",-1
"Wenn alles klar ist, die Gesamtheit könnt ihr jetzt mit eurer Diskussion beginnen.",-1
"Wenn alles klar ist, dann könnt ihr jetzt mit Diskussion Diskussion beginnen.",-1
"Wenn alles klar ist, können Sie jetzt mit Ihrer Diskussion beginnen.",-1
"Wenn Ahnung klar ist, können Sie jetzt mit Ihrer Diskussion beginnen.",-1
"Wenn alles klar ist, können Diskussion jetzt mit Ihrer Diskussion beginnen.",-1
Ich schaue auch nochmal kurz im Text nach,35
Ich schaue auch nochmal kurz im Text wieder,35
Ich schaue auch noch einmal im Text,35
"Okay. Ich glaube, dass für unseren Fall Zeile 52-58 wichtig sind.",35
"Ok. Ich glaube, dass in unserer Fallzeile 52-58 wichtig sind.",35
"Er macht seine Mathefähigkeit an seiner mangelenden Begabung fest, ist also internal stabil diese Zuschreibung , würde ich sagen",35
"Er macht seine Mathefähigkeit an seiner mangelenden Begabung fest, ist also internal stabil diese Zuschreibung , würde ich Attribuierung",35
"Er macht seine Mathematikkapazität bei seinem mangelnden Talent, also ist es intern stabil, wenn ich sagen würde, würde ich sagen",35
Ja also Punkt 56 und 57,39
Ja also Modul 56 und 57,39
"Ja, Punkt 56 und 57",39
"Ja, Modul 56 und 57",39
Die Eltern spielen zusätzlich eine Rolle.,35
Die Eltern spielen auch eine Rolle.,35
Die Eltern spielen auch eine Rolle.,35
Die Eltern spielen auch eine Rolle.,35
"Sie sagen, dass sie selber ""Mathenieten"" seien und daher die schlechten Noten des Jungen nicht schlimm seien, sie lachen sogar darüber. Diese Fremdattribuierung verstärkt die Selbstattribution des Jungen, seine schlechten Noten auf die mangelnde Begabung zurückzuführen.",35
"Sie sagen, dass sie selber ""Mathenieten"" seien und daher die schlechten Noten des Jungen nicht schlimm seien, sie lachen sogar darüber. Diese Fremdattribuierung verstärkt die Selbstattribution des Jungen, seine schlechten Noten auf die mangelnde Begabung zurückzuführen.",35
"Sie sagen, dass sie selbst ""Mathematik -Nieten"" sind und daher die schlechten Noten des Jungen nicht schlecht sind, sie lachen sogar darüber. Diese ausländischen Eigenschaften verstärken die selbstverletzende Zulassung des Jungen, seine schlechten Noten aufgrund des Mangels an Talenten.",35
"Sie sagen, dass sie selbst ""Mathematik -Nieten"" sind und daher die schlechten Noten des Jungen nicht übel sind, sie lachen sogar darüber. Diese ausländischen Eigenschaften verstärken die selbstverletzende Zulassung des Jungen, seine schlechten Noten aufgrund des Mangels an Talenten.",35
"Sag Bescheid, wenn du soweit bist :)",36
"Lass es mich wissen, wenn du bereit bist :)",36
Ah ok jetzt sind die Nachrichten erst angekommen,35
Ah ok jetzt sind die Nachrichten nur angekommen,35
"Ja stimmt, er übernimmt die Fremdattribution der Eltern. Und wie in Zeile 65 angedeutet, passiert bei Michael auch genau das: Er ist weniger motiviert bzw. weniger von sich überzeugt, weil er eh nichts daran ändern kann.",37
"Ja stimmt, er übernimmt die Fremdattribution der Eltern. Und wie in Zeile 65 angedeutet, passiert bei Michael auch genau das: Er ist weniger angefeuert bzw. weniger von sich überzeugt, weil er eh nichts daran ändern kann.",37
"Ja stimmt, er übernimmt die Fremdattribution der Eltern. Und wie in Zeile 65 angedeutet, passiert bei Michael auch genau das: Er ist weniger motiviert bzw. weniger von sich überzeugt, weil er eh nichts daran ändern kann.",37
"Ja, richtig, er übernimmt die ausländische Zuschreibung der Eltern. Und wie in Zeile 65 angegeben, ist genau das mit Michael passiert: Er ist weniger motiviert oder weniger überzeugt von sich, weil er sowieso nichts ändern kann.",37
"Ja, richtig, er übernimmt die ausländische Zuschreibung der Eltern. Und wie in Zeile 65 angegeben, ist genau das mit Michael passiert: Er ist weniger motiviert oder weniger überzeugt von eingefleischt weil er sowieso nichts ändern kann.",37
"Ja, richtig, er übernimmt die ausländische Zuschreibung der Eltern. Und wie in Zeile 65 angegeben, ist genau das mit Michael passiert: Er ist weniger motiviert oder weniger überzeugt von sich, weil eh sowieso nichts ändern kann.",37
"Die Mathelehrerin Frau Weber handelt richtig, oder?",36
"Die Mathematiklehrerin Frau Weber ist richtig, oder?",36
"Weil sie versucht, seinen Misserfolg (internal) variabel durch Anstrengung zu begründen.",35
"Weil Schlappe versucht, seinen Misserfolg (internal) variabel durch Anstrengung zu begründen.",35
"Weil sie versucht, seinen Misserfolg (internal) variabel durch Anstrengung zu begründen.",35
"Weil sie versucht, seine (interne) Misserfolgsvariable durch Anstrengung zu rechtfertigen.",35
"An sich ist die Rückmeldung von Frau Weber gut, da sie mit dieser Aussage zu verstehen gibt, dass seine schlechten Noten mit seiner Faulheit und nicht seiner fehlenden Begabung zu tun haben.",35
"An sich ist die Antwort von Frau Weber gut, da sie mit dieser Aussage zu verstehen gibt, dass seine schlechten Noten mit seiner Faulheit und nicht seiner fehlenden Begabung zu tun haben.",35
"An sich ist die Rückmeldung von Frau Weber gut, da sie mit dieser Aussage Semantik verstehen gibt, dass seine schlechten Noten mit seiner Faulheit und nicht seiner fehlenden Begabung zu tun haben.",35
"An sich ist die Rückmeldung von Frau Weber gut, da sie mit dieser Aussage zu verstehen gibt, dass seine schlechten Noten Arbeitsscheu seiner Faulheit und nicht seiner fehlenden Begabung zu tun haben.",35
"An sich ist das Feedback von Frau Weber gut, da diese Aussage versteht, dass seine schlechten Noten mit seiner Faulheit und nicht seinem mangelnden Talent zu tun haben.",35
"An sich Stellungnahme das Feedback von Frau Weber gut, da diese Aussage versteht, dass seine schlechten Noten mit seiner Faulheit und nicht seinem mangelnden Talent zu tun haben.",35
Genau,39
treffsicher,39
Willst du die Antwort für diese Fallbeschreibung notieren ?,36
Möchten Sie die Antwort für diese Fallbeschreibung aufschreiben?,36
"Klar, kann ich machen.",39
"Sicher, ich kann es tun.",39
Wir haben aber glaube ich noch Zeit,37
Wir haben aber glaube Glaube noch Zeit,37
"Aber ich glaube, ich habe noch Zeit",37
Ihr habt noch 15 Minuten Zeit.,-1
Sie haben noch 15 Minuten.,-1
"Ich finde von Frau Weber nur den Begriff ""Faulheit"" eher ungünstig gewählt, weil er demotivierend sein kann und für mein Empfinden auch nach einer stabileren Persönlichkeitseigenschaft klingt.",37
"Ich finde von Frau Weber nur den Begriff ""Faulheit"" eher ungünstig gewählt, einschüchternd er demotivierend sein kann und für mein Empfinden auch nach einer stabileren Persönlichkeitseigenschaft klingt.",37
"Ich finde von Frau Weber nur den Begriff ""Faulheit"" eher ungünstig gewählt, weil er demotivierend darstellen kann und für mein Empfinden auch nach einer stabileren Persönlichkeitseigenschaft klingt.",37
"Ich finde nur den Begriff ""Faulheit"" von Frau Weber ziemlich ungünstig, weil er demotivierend sein kann und nach meinem Gefühl nach einem stabileren Persönlichkeitsstatus klingt.",37
"Ich finde Begriff den Begriff ""Faulheit"" von Frau Weber ziemlich ungünstig, weil er demotivierend sein kann und nach meinem Gefühl nach einem stabileren Persönlichkeitsstatus klingt.",37
"Ich finde nur den Begriff ""Faulheit"" von Frau Weber ziemlich ungünstig, weil einschüchternd demotivierend sein kann und nach meinem Gefühl nach einem stabileren Persönlichkeitsstatus klingt.",37
"JA er könnte dies eher als Kritik aufnehmen, gerade weil sie auch davon spricht, dass er Aussreden suche. Man könnte also erwähnen, dass das Feedback durch die Art und Weise der Formulierung nicht richtig beim Schüler ankommt",37
"JA er könnte dies eher als Kritik aufnehmen, gerade weil sie auch davon spricht, dass er Aussreden suche. Man könnte also erwähnen, dass das Feedback durch unter Einsatz von Art und Weise der Formulierung nicht richtig beim Schüler ankommt",37
"JA er könnte dies eher als Kritik aufnehmen, gerade weil sie auch davon spricht, dass er Aussreden suche. Man könnte also erwähnen, dass das Feedback durch die Art und Weise der Formulierung nicht richtig beim Wortlaut ankommt",37
"Ja, er könnte dies als Kritik annehmen, gerade weil sie auch davon spricht, nach einem Mitspracherecht zu suchen. Man könnte also erwähnen, dass das Feedback aufgrund der Art des Wortlauts nicht ordnungsgemäß mit dem Schüler ankommt",37
"Ja, er könnte dies als Kritik annehmen, gerade weil sie auch davon spricht, nach einem Mitspracherecht zu suchen. Man Mitspracherecht also erwähnen, dass das Feedback aufgrund der Art des Wortlauts nicht ordnungsgemäß mit dem Schüler ankommt",37
"Ja, er könnte dies als Kritik annehmen, gerade weil sie auch davon spricht, nach einem Mitspracherecht zu suchen. Man könnte also erwähnen, dass das Feedback aufgrund der Art des Wortlauts nicht ordnungsgemäß ordnungsgemäß dem Schüler ankommt",37
"Okay, ich schreibe das schon mal parallel in die zusammenfassende Antwort in einem Dokument.",35
"Okay, ich Schreibstil das schon mal parallel in die zusammenfassende Antwort in einem Dokument.",35
"Okay, ich schreibe das parallel in der Zusammenfassung in einem Dokument.",35
"Okay, ich Schreibstil das parallel in der Zusammenfassung in einem Dokument.",35
"Okay, ich schreibe das parallel in der Zusammenfassung in Zusammenfassung Dokument.",35
"Okay, wenn ich helfen soll, geb Bescheid , ich lese in der Zeit nochmal Im Text und überlege was man noch ergänzen könnte",35
"Okay, Hilfe leisten ich helfen soll, geb Bescheid , ich lese in der Zeit nochmal Im Text und überlege was man noch ergänzen könnte",35
"Okay, wenn ich helfen soll, Schreiben Bescheid , ich lese in der Zeit nochmal Im Text und überlege was man noch ergänzen könnte",35
"Okay, wenn ich helfen soll, geb Bescheid , ich lese in der wieder nochmal Im Text und überlege was man noch ergänzen könnte",35
"Okay, wenn ich helfen sollte, lassen Sie es im Text noch einmal lesen und darüber nachdenken, was ich hinzufügen soll",35
"Okay, wenn ich helfen sollte, lassen Sie Möglichkeit schaffen im Text noch einmal lesen und darüber nachdenken, was ich hinzufügen soll",35
"Okay, wenn ich helfen sollte, lassen Sie es im Text noch einmal indem und darüber nachdenken, was ich hinzufügen soll",35
"Die Eltern sollten natürlich idealerweise auch eher zum Lernen motivieren, indem sie sagen, dass er das schaffen kann, wenn er sich anstrengt. Aber der Vater hat anscheinend schon in seiner Schülerzeit diese Selbstattribuierungstendenz gehabt.",35
"Die im Idealfall sollten natürlich idealerweise auch eher zum Lernen motivieren, indem sie sagen, dass er das schaffen kann, wenn er sich anstrengt. Aber der Vater hat anscheinend schon in seiner Schülerzeit diese Selbstattribuierungstendenz gehabt.",35
"Die Eltern sollten natürlich idealerweise auch eher zum Lernen motivieren, indem sie sagen, dass er tätig sein schaffen kann, wenn er sich anstrengt. Aber der Vater hat anscheinend schon in seiner Schülerzeit diese Selbstattribuierungstendenz gehabt.",35
"Im Idealfall sollten die Eltern sie natürlich auch motivieren, zu lernen, indem sie sagen, dass er es tun kann, wenn er es versucht. Aber anscheinend hatte der Vater diese Selbstverträglichkeit während seines Schulkinders.",35
"Im Idealfall sollten die Eltern sie natürlich auch motivieren, zu lernen, indem sie sagen, dass er es tun kann, wenn er es versucht. Aber möglicherweise hatte der Vater diese Selbstverträglichkeit während seines Schulkinders.",35
"Vor allem, dass er sagt, sein Abi nur durch Spickzettel und Abschreiben bestanden zu haben, ist denkbar ungünstig (wenn auch eine lustige Story)",35
"Vor allem, dass er sagt, sein Abi nur durch Spickzettel und Abschreiben bestanden zu haben, ist denkbar ungünstig (wenn auch eine lustige Story)",35
"Vor allem, dass er sagt, sein Abi nur durch Spickzettel spicken Abschreiben bestanden zu haben, ist denkbar ungünstig (wenn auch eine lustige Story)",35
"Vor allem, dass er sagt, sein Abi nur durch Spickzettel und Abschreiben bestanden zu haben, ist denkbar ungünstig (wenn auch nachteilig lustige Story)",35
"Vor allem sagt er, dass er nur sein High -School -Diplom bestanden hat und das Kopieren sehr ungünstig ist (wenn auch eine lustige Geschichte)",35
Vielleicht hat er sich auch davor doch ein bisschen angestrengt und gelernt und das war auch Grund für das Bestehen.,35
Vielleicht hat evtl. sich auch davor doch ein bisschen angestrengt und gelernt und das war auch Grund für das Bestehen.,35
Vielleicht hat er sich auch ernst doch ein bisschen angestrengt und gelernt und das war auch Grund für das Bestehen.,35
Vielleicht hat er sich auch davor doch ein bisschen angestrengt trainiert gelernt und das war auch Grund für das Bestehen.,35
"Vielleicht hat er auch ein bisschen Mühe unternommen und zuvor gelernt, und das war auch der Grund für die Existenz.",35
"Vielleicht hat er evtl. ein bisschen Mühe unternommen und zuvor gelernt, und das war auch der Grund für die Existenz.",35
"Ja das sollte auch rein mit den Eltern, sie hätten lieber Aussagen geben können , dass sie versuchen ihn durch Nachhilfe zu unterstützen oder so",37
"Ja das sollte auch rein mit den Eltern, sie hätten lieber Behauptung aufstellen geben können , dass sie versuchen ihn durch Nachhilfe zu unterstützen oder so",37
"Ja das sollte auch rein mit den Eltern, sie hätten lieber Aussagen geben können , dass sie abschmecken ihn durch Nachhilfe zu unterstützen oder so",37
"Ja das sollte auch rein mit den Eltern, sie hätten lieber Aussagen geben können , dass sie versuchen ihn durch Nachhilfe befürworten unterstützen oder so",37
"Ja, das sollte auch nur bei den Eltern sein, sie hätten Aussagen geben können, die sie versuchen können, ihn durch Nachhilfe oder so etwas zu unterstützen",37
"Ja, das sollte auch nur bei den Eltern Erziehungsberechtigte sie hätten Aussagen geben können, die sie versuchen können, ihn durch Nachhilfe oder so etwas zu unterstützen",37
"Ja, das sollte auch nur bei den Eltern sein, sie hätten Aussagen geben Behauptung aufstellen die sie versuchen können, ihn durch Nachhilfe oder so etwas zu unterstützen",37
"Ja, das sollte auch nur bei den Eltern sein, sie hätten Aussagen geben können, die abschmecken versuchen können, ihn durch Nachhilfe oder so etwas zu unterstützen",37
"Ja, das sollte auch nur bei den Eltern sein, sie hätten Aussagen geben können, die sie versuchen können, ihn durch Nachhilfe oder so befürworten zu unterstützen",37
Kommt nun bitte zum Ende und formuliert die gemeinsame Erklärung.,-1
Komm jetzt bitte am Ende und formulieren Sie die gemeinsame Erklärung.,-1
Komm jetzt bitte am Ende und formulieren Sie die gemeinsame Erklärung.,-1
Komm jetzt bitte am Ende und formulieren Sie die umreißen Erklärung.,-1
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich mithin Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der vermehrt verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael attribuiert seinen Misserfolg internal stabil, indem er seine mangelnde Begabung dafür verantwortlich macht. Dementsprechend ist er unmotivierter, da er nichts daran ändern kann. Diese Selbstattribuierung wird von der Fremdattribuierung der Eltern verstärkt oder sogar verursacht und übernommen. Diese erzählen",41
"Michael führt sein Versagen intern stabil, indem er seinen mangelnden Talent verantwortlich macht.Dementsprechend ist er unmotiviert, weil er nichts ändern kann.Diese Selbstverschiebung wird gestärkt oder sogar durch die fremde Zuordnung der Eltern verursacht.Diese erzählen von ihren schlechten Mathematik und deuten",41
"Michael führt ablosen Versagen intern stabil, indem er seinen mangelnden Talent verantwortlich macht.Dementsprechend ist er unmotiviert, weil er nichts ändern kann.Diese Selbstverschiebung wird gestärkt oder sogar durch die fremde Zuordnung der Eltern verursacht.Diese erzählen von ihren schlechten Mathematik und deuten",41
"Michael führt sein Versagen intern stabil, indem er seinen mangelnden Talent verantwortlich macht.Dementsprechend ist er unmotiviert, weil er nichts ändern kann.Diese Selbstverschiebung wird gestärkt oder sogar durch die fremde Zuweisung der Eltern verursacht.Diese erzählen von ihren schlechten Mathematik und deuten",41
"Michael führt sein Versagen intern stabil, indem er seinen mangelnden Talent verantwortlich macht.Dementsprechend ist er unmotiviert, weil er nichts ändern kann.Diese Selbstverschiebung wird gestärkt oder sogar durch die fremde Zuordnung der Eltern verursacht.Diese erzählen von ihren schlechten Mathematik und deuten",41
"Michael führt sein Versagen intern stabil, indem er seinen mangelnden Talent verantwortlich macht.Dementsprechend ist er unmotiviert, weil er nichts ändern kann.Diese Selbstverschiebung wird gestärkt oder sogar durch die fremde Zuordnung der Eltern verursacht.Diese erzählen von ihren schlechten Mathematik und deuten",41
"Michael führt sein Versagen intern stabil, indem er seinen mangelnden Talent verantwortlich macht.Dementsprechend ist er unmotiviert, weil er nichts ändern kann.Diese Selbstverschiebung wird gestärkt oder sogar durch die fremde Zuordnung der Eltern verursacht.Diese erzählen von ihren schlechten Mathematik und deuten",41
"Michael führt sein Versagen intern stabil, indem er seinen mangelnden Talent verantwortlich macht.Dementsprechend ist er unmotiviert, weil er nichts ändern kann.Diese Selbstverschiebung wird gestärkt oder sogar durch die fremde Zuordnung der Eltern verursacht.Diese erzählen von ihren schlechten Mathematik und deuten",41
"Michael führt sein Versagen intern stabil, indem er seinen mangelnden Talent verantwortlich macht.Dementsprechend ist er unmotiviert, weil er nichts ändern kann.Diese Selbstverschiebung wird gestärkt oder sogar durch die fremde Zuordnung der Eltern verursacht.Diese erzählen von ihren schlechten Mathematik und deuten",41
